,datetime,open,high,low,close
185,2021-10-03 06:05:00,47908.60156,47947.73047,47904.07812,47943.57812
186,2021-10-03 06:10:00,47948.71875,47948.71875,47922.01953,47935.37109
187,2021-10-03 06:15:00,47942.73828,47949.48828,47924.37891,47937.33984
188,2021-10-03 06:20:00,47937.01172,47969.75000,47928.00000,47958.51953
189,2021-10-03 06:25:00,47966.57812,47966.57812,47939.30078,47955.69141
190,2021-10-03 06:30:00,47939.21094,48014.73828,47939.21094,47997.21094
191,2021-10-03 06:35:00,47994.55859,48027.82812,47980.28906,48025.91016
192,2021-10-03 06:40:00,48009.42188,48020.87109,47996.80859,47996.80859
193,2021-10-03 06:45:00,47998.62891,48024.98047,47975.28125,48024.98047
194,2021-10-03 06:50:00,48033.50000,48050.12891,47986.92188,48045.00000
195,2021-10-03 06:55:00,48020.00000,48020.00000,47965.44922,47966.05078
196,2021-10-03 07:00:00,47970.16016,47970.16016,47933.53906,47964.98047
197,2021-10-03 07:05:00,47946.01172,47946.01172,47886.03125,47886.03125
198,2021-10-03 07:10:00,47874.32031,47900.00000,47874.32031,47886.55078
199,2021-10-03 07:15:00,47882.73828,47911.37109,47872.80078,47911.37109
200,2021-10-03 07:20:00,47916.14062,47916.14062,47848.51953,47864.96875
201,2021-10-03 07:25:00,47878.96875,47878.96875,47826.01953,47856.60938
202,2021-10-03 07:30:00,47844.05078,47890.37891,47832.92188,47890.37891
203,2021-10-03 07:35:00,47892.30859,47892.30859,47844.08984,47872.87109
204,2021-10-03 07:40:00,47879.62891,47879.62891,47835.89062,47865.96875
205,2021-10-03 07:45:00,47889.98828,47918.42188,47883.46094,47918.42188
206,2021-10-03 07:50:00,47919.98828,47919.98828,47886.26953,47886.26953
207,2021-10-03 07:55:00,47871.85156,47896.35156,47851.00000,47895.98828
208,2021-10-03 08:00:00,47899.98047,47912.46094,47875.35938,47890.94141
209,2021-10-03 08:05:00,47909.00000,47941.98828,47908.73828,47924.98047
210,2021-10-03 08:10:00,47932.75000,47963.87891,47927.89844,47963.87891
211,2021-10-03 08:15:00,47977.17969,47977.17969,47947.51953,47972.80859
212,2021-10-03 08:20:00,47964.57812,47964.57812,47925.10938,47956.44922
213,2021-10-03 08:25:00,47961.96094,47973.42188,47952.69141,47966.21094
214,2021-10-03 08:30:00,47945.14844,47950.01172,47933.08984,47942.39062
215,2021-10-03 08:35:00,47939.62109,47947.96094,47924.87891,47933.05078
216,2021-10-03 08:40:00,47922.51953,47922.51953,47849.07031,47849.07031
217,2021-10-03 08:45:00,47851.89062,47885.57812,47849.96094,47850.00000
218,2021-10-03 08:50:00,47855.17188,47885.32812,47846.35938,47876.21875
219,2021-10-03 08:55:00,47884.30859,47884.30859,47827.17188,47832.03906
220,2021-10-03 09:00:00,47819.19141,47819.19141,47752.35156,47752.35156
221,2021-10-03 09:05:00,47750.32031,47753.98828,47701.30859,47734.55859
222,2021-10-03 09:10:00,47718.83984,47718.98047,47628.14844,47628.14844
223,2021-10-03 09:15:00,47633.14844,47759.55078,47633.14844,47688.41016
224,2021-10-03 09:20:00,47680.62891,47735.62109,47680.62891,47727.98828
225,2021-10-03 09:25:00,47727.26172,47761.92969,47727.26172,47736.46094
226,2021-10-03 09:30:00,47739.62109,47849.64062,47739.62109,47849.64062
227,2021-10-03 09:35:00,47834.94141,47862.94141,47763.17969,47763.17969
228,2021-10-03 09:40:00,47758.83984,47758.83984,47680.67188,47728.03906
229,2021-10-03 09:45:00,47712.12109,47753.33984,47679.76172,47753.33984
230,2021-10-03 09:50:00,47784.67969,47820.00000,47784.67969,47805.80078
231,2021-10-03 09:55:00,47781.78125,47809.98828,47761.53906,47789.19141
232,2021-10-03 10:00:00,47816.26953,47817.26953,47744.07031,47746.60938
233,2021-10-03 10:05:00,47780.48828,47816.98047,47764.07812,47803.87891
234,2021-10-03 10:10:00,47788.19922,47877.16016,47788.19922,47877.16016
235,2021-10-03 10:15:00,47888.87891,47948.98047,47888.87891,47948.98047
236,2021-10-03 10:20:00,47925.03906,47936.05078,47899.66016,47899.66016
237,2021-10-03 10:25:00,47914.39062,47918.91016,47895.58984,47918.91016
238,2021-10-03 10:30:00,47918.23047,47918.23047,47855.55859,47860.82031
239,2021-10-03 10:35:00,47856.51953,47861.23828,47821.01172,47861.23828
240,2021-10-03 10:40:00,47846.62109,47863.17188,47810.48047,47861.51953
241,2021-10-03 10:45:00,47869.46094,47877.33984,47838.76172,47859.12109
242,2021-10-03 10:50:00,47855.71875,47855.71875,47773.92188,47782.35156
243,2021-10-03 10:55:00,47784.12891,47817.87109,47773.01172,47807.35156
244,2021-10-03 11:00:00,47778.05859,47879.83984,47778.05859,47874.85938
245,2021-10-03 11:05:00,47879.44141,47923.19141,47840.00000,47923.19141
246,2021-10-03 11:10:00,47981.23828,47981.23828,47924.87109,47938.19141
247,2021-10-03 11:15:00,47934.76172,47957.89062,47915.76172,47941.32812
248,2021-10-03 11:20:00,47939.48047,48033.98828,47939.48047,48033.98828
249,2021-10-03 11:25:00,48033.96094,48033.96094,47977.03125,47999.32031
250,2021-10-03 11:30:00,47970.10938,47977.78125,47946.19922,47965.71094
251,2021-10-03 11:35:00,47975.48828,47975.48828,47949.33984,47973.85938
252,2021-10-03 11:40:00,47974.42969,48008.39844,47974.42969,48006.12891
253,2021-10-03 11:45:00,48002.57031,48002.57031,47962.41016,47962.41016
254,2021-10-03 11:50:00,47953.76172,47962.67969,47932.75000,47962.67969
255,2021-10-03 11:55:00,47942.53906,48000.21094,47942.53906,47993.53125
256,2021-10-03 12:00:00,47992.92188,47992.92188,47916.28125,47939.46875
257,2021-10-03 12:05:00,47934.98828,47957.51172,47934.98828,47936.91016
258,2021-10-03 12:10:00,47935.85156,48023.16016,47935.85156,47980.37109
259,2021-10-03 12:15:00,47985.51953,48024.94922,47985.51953,47999.96875
260,2021-10-03 12:20:00,47991.32812,47996.32812,47819.19922,47819.19922
261,2021-10-03 12:25:00,47835.28125,47870.00000,47835.28125,47856.25000
262,2021-10-03 12:30:00,47862.35938,47925.17969,47862.35938,47925.17969
263,2021-10-03 12:35:00,47925.73047,47955.32812,47914.69922,47944.98047
264,2021-10-03 12:40:00,47937.53906,48008.33984,47937.53906,47986.30859
265,2021-10-03 12:45:00,48003.05859,48064.64062,48003.05859,48019.26953
266,2021-10-03 12:50:00,48032.66016,48032.66016,47990.96094,48003.48047
267,2021-10-03 12:55:00,47994.73828,48011.69922,47990.46875,48000.32031
268,2021-10-03 13:00:00,47938.01953,47999.98828,47938.01953,47980.01172
269,2021-10-03 13:05:00,47962.57031,47962.57031,47850.69141,47878.87891
270,2021-10-03 13:10:00,47873.17188,47915.03906,47873.17188,47902.87891
271,2021-10-03 13:15:00,47917.42969,47982.71875,47909.87891,47982.71875
272,2021-10-03 13:20:00,47983.51953,48063.05859,47983.51953,47993.73828
273,2021-10-03 13:25:00,47998.85938,48052.78125,47998.85938,48036.51172
274,2021-10-03 13:30:00,48005.28125,48008.03125,47969.62109,47989.98828
275,2021-10-03 13:35:00,47985.48828,48073.37109,47972.51172,48067.75000
276,2021-10-03 13:40:00,48066.80859,48141.87109,48066.80859,48128.07031
277,2021-10-03 13:45:00,48140.89844,48140.89844,48075.82812,48082.39844
278,2021-10-03 13:50:00,48086.01172,48098.96094,48075.92969,48077.83984
279,2021-10-03 13:55:00,48082.17188,48082.17188,48041.16016,48045.44141
280,2021-10-03 14:00:00,48060.12109,48104.98047,48036.82031,48036.82031
281,2021-10-03 14:05:00,48013.01172,48020.00000,48000.01172,48010.55859
282,2021-10-03 14:10:00,48005.01172,48036.14062,48000.01172,48036.14062
283,2021-10-03 14:15:00,48033.07812,48033.07812,47970.92188,48000.23047
284,2021-10-03 14:20:00,48002.87891,48006.57031,47982.73828,48000.01172
285,2021-10-03 14:25:00,47995.73828,47999.21094,47980.50000,47993.76953
